12,7320000,5,10,5,0,77
6,950000,1,0,5,5,95
6,490000,1,0,5,5,93
2,160000,0,0,0,2,7
5,3070000,1,46,5,0,93
2,90000,1,4,1,0,0
7,180000,4,2,2,1,1
4,2930000,1,0,5,5,93
5,1,1,0,5,5,93
6,60000,1,0,5,6,108
7,1260000,1,0,5,8,109
5,630000,1,0,5,6,96
4,62,1,0,16,6,98
3,62,0,0,16,2,99
5,490000,1,0,5,5,93
6,1,1,0,17,6,100
13,2870000,7,0,18,6,110
6,1590000,1,46,5,5,93
5,530000,1,33,5,5,93
8,580000,2,38,5,6,83
9,1,2,38,5,6,111
8,1290000,2,38,5,6,112
14,1340000,7,0,16,2,113
15,66,8,3,16,2,114
7,1,2,38,6,2,112
12,3460000,5,10,5,5,77
11,2220000,4,8,7,9,102
13,11700000,5,11,5,5,77
9,6070000,2,8,5,5,83
11,2970000,4,0,5,6,77
15,13020000,5,10,5,5,77
12,11780000,5,0,5,5,77
12,6340000,4,0,5,6,77
14,10690000,5,8,5,5,77
10,9560000,4,8,5,6,77
12,3760000,3,0,5,6,102
7,5910000,1,8,5,6,103
8,4460000,1,0,5,6,115
12,21510000,3,10,6,6,77
11,15250000,4,0,5,5,77
13,16470000,4,10,6,6,107
